tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
3,Thaveeporn,TEACHER,University of California Berkeley,1072,Asian Studies,average,Vasavakul,938624,PROFESSOR,,3.3
5,Yiorgos,TEACHER,University of California Berkeley,1072,Music,good,Vassilandonakis,1181058,PROFESSOR,,4.9
0,Sarah,TEACHER,University of California Berkeley,1072,Anthropology,zero,Vaughn,2313862,PROFESSOR,,N/A
10,Umesh V.,TEACHER,University of California Berkeley,1072,Computer Science,average,Vazirani,895924,PROFESSOR,,3.3
9,Vanessa,TEACHER,University of California Berkeley,1072,Mass Communications,good,Vega,1479226,PROFESSOR,,3.8
3,John,TEACHER,University of California Berkeley,1072,Business Administration,good,Veitch,540021,PROFESSOR,,3.5
3,Mauricio,TEACHER,University of California Berkeley,1072,Mathematics,good,Velasco,1082296,PROFESSOR,,4.7
1,Niek,TEACHER,University of California Berkeley,1072,Near Eastern Studies,good,Veldhuis,2178560,PROFESSOR,,5.0
2,Maria,TEACHER,University of California Berkeley,1072,French,good,Vendetti,1617676,PROFESSOR,,3.8
1,Joshua,TEACHER,University of California Berkeley,1072,Classics,good,Vera,1408346,PROFESSOR,,5.0
4,John,TEACHER,University of California Berkeley,1072,Engineering,good,Verboncoeur,476541,PROFESSOR,,4.0
13,James,TEACHER,University of California Berkeley,1072,History,good,Vernon,663161,PROFESSOR,,3.9
2,Kai,TEACHER,University of California Berkeley,1072,Nuclear Engineering,good,Vetter,2119560,PROFESSOR,,5.0
9,Aurelie,TEACHER,University of California Berkeley,1072,Spanish,good,Vialette,543475,PROFESSOR,,4.2
11,Felicia,TEACHER,University of California Berkeley,1072,History,good,Viator,1871151,PROFESSOR,,4.7
36,Neil,TEACHER,University of California Berkeley,1072,Chemistry,good,Viernes,1015075,PROFESSOR,,3.6
5,Sharad,TEACHER,University of California Berkeley,1072,Computer Science,good,Vikram,1749970,PROFESSOR,,4.3
4,Celines,TEACHER,University of California Berkeley,1072,Spanish,good,Villalba,1131499,PROFESSOR,,4.1
0,Ana,TEACHER,University of California Berkeley,1072,Sociology,zero,Villalobos,1238267,PROFESSOR,,N/A
6,Rakhel,TEACHER,University of California Berkeley,1072,Spanish,good,Villamil-Acera,794749,PROFESSOR,,4.8
4,Sofia,TEACHER,University of California Berkeley,1072,Economics,average,Villas-Boas,1128603,PROFESSOR,,3.0
4,Frederick,TEACHER,University of California Berkeley,1072,African-American Studies,good,Vincent,1006622,PROFESSOR,,5.0
1,Ashvin,TEACHER,University of California Berkeley,1072,Physics,good,Vishwanath,993955,PROFESSOR,,5.0
2,Maurizio,TEACHER,University of California Berkeley,1072,Italian,good,Vito,753166,PROFESSOR,,4.0
3,Martin,TEACHER,University of California Berkeley,1072,Mathematics,good,Vito-Cruz,973432,PROFESSOR,,4.7
10,Jason,TEACHER,University of California Berkeley,1072,Italian,good,Vivrette,566006,PROFESSOR,,5.0
3,Nic,TEACHER,University of California Berkeley,1072,Education,good,Voge,895565,PROFESSOR,,4.2
26,Steven K.,TEACHER,University of California Berkeley,1072,Political Science,good,Vogel,443596,PROFESSOR,,4.2
31,Dan,TEACHER,University of California Berkeley,1072,Mathematics,poor,Voiculescu,441180,PROFESSOR,,1.9
31,Paul,TEACHER,University of California Berkeley,1072,Mathematics,poor,Vojta,420346,PROFESSOR,,2.0
2,Loy,TEACHER,University of California Berkeley,1072,Biology,good,Volkman,335971,PROFESSOR,,4.5
114,K. Peter,TEACHER,University of California Berkeley,1072,Chemistry,average,Vollhardt,158359,PROFESSOR,,3.0
2,Sophie,TEACHER,University of California Berkeley,1072,Chinese,average,Volpp,800904,PROFESSOR,,3.2
8,Leti,TEACHER,University of California Berkeley,1072,Legal Studies,good,Volpp,1438701,PROFESSOR,,4.3
2,Christina,TEACHER,University of California Berkeley,1072,German,good,Von Hodenberg,544461,PROFESSOR,,4.2
9,Alex,TEACHER,University of California Berkeley,1072,Asian Studies,good,Von Rospatt,732262,PROFESSOR,,4.2
5,Vlasta,TEACHER,University of California Berkeley,1072,English,good,Vranjes,536202,PROFESSOR,,4.9
1,Jasmina,TEACHER,University of California Berkeley,1072,Nuclear Engineering,good,Vujic,2119558,PROFESSOR,,5.0
6,Chris,TEACHER,University of California Berkeley,1072,Nutrition,average,Vulpe,660613,PROFESSOR,,3.3
1,Mai,TEACHER,University of California Berkeley,1072,Chemistry,good,Vuong-Hurt,1598896,PROFESSOR,,4.0
26,Loic,TEACHER,University of California Berkeley,1072,Sociology,poor,Wacquant,606234,PROFESSOR,,2.4
6,Bonnie,TEACHER,University of California Berkeley,1072,Music,average,Wade,396570,PROFESSOR,,3.0
0,B C,TEACHER,University of California Berkeley,1072,Music,zero,Wade,1342016,PROFESSOR,,N/A
26,Bryan,TEACHER,University of California Berkeley,1072,English,good,Wagner,618991,PROFESSOR,,4.7
